eid	name	entity
0	Up the Downstair	m.0twntz
1	Tornado Of Souls	m.0xt3h5
2	The End of the Beginning	m.0ftd33x
3	Brand New Start	m.0dnh50s
4	I Drive the Hearse	m.0dv3tc3
5	Circle of Manias	m.0dv3tbb
6	Octane Twisted	m.0dv3t1r
7	Kneel and Disconnect	m.0dv3t2h
8	Mr. Crowley	m.0z32_f
9	Darkness and Frost	m.0rh6gs2
10	Summer Moved On	m.0l1vj8
11	Silent Scream	m.0m73b8
12	Dissolving With the Night	m.0gb9b_g
13	Not Beautiful Anymore	m.0133hnr
14	Revolution Is My Name	m.0152wr5
15	Silent Night, Bodom Night	m.0149kfp
16	Street Fighting Man	m.0mv78_
17	Hunting Song	m.01brlkd
18	Words Darker Than Their Wings	m.0fybsr8
19	Make It Right	m.0f_1fxs
20	Still Remains	m.0fvj91f
21	Ghost Of Days Gone By	m.0fvmnrg
22	Sectarian	m.0nl81h1
23	Master Of The Moon	m.015w5dk
24	Kill Your Heroes	m.0nn5skz
25	Thunderhorse	m.0dql0fk
26	My Jekyll Doesn't Hide	m.0p5_8j
27	Harmony Korine	m.0fqpjj1
28	Intermediate Jesus	m.0n7gjw
29	We Got Used To Us	m.0sjt5t_
30	Little James	m.0tgfcc
31	Act of Desperation	m.0gdtjc7
32	Unholy Confessions	m.0z3hbh
33	Silent Scream	m.0rm02n
34	Triple Corpse Hammerblow	m.0p6qqv
35	Sixpounder	m.0xckqf
36	Never Enough	m.012gpq1
37	Only Child	m.0ft8vhj
38	Blackfield	m.0vfqm6
39	Dio	m.0lzr7t
40	Kickapoo	m.0dr08gk
41	Lonely Is the Word	m.0lgrbl
42	Blinded in Chains	m.016ts5h
43	Burn It Down	m.019yc4k
44	Helpless	m.0l5svt
45	Left Out	m.0d_r368
46	Egoist Hedonist	m.0dql_rn
47	Technical Difficulties	m.0txg20
48	Rust Never Sleeps	m.0fvjggg
49	Can't Stop	m.0f5yx9n
50	Director's Cut	m.0gdtjbl
51	Forever and a Day	m.0v5ldf
52	Scars	m.0vfqmn
53	Burning My Soul	m.0lj3bl
54	These Days	m.0nnk21k
55	The Small Print	m.012ctc5
56	Fragile Dreams	m.0pgfjc
57	Farther Than The Sun	m.0wt43vt
58	Cry A River	m.0wt2bsw
59	The Uninvited	m.0wt2g3f
60	Bleed It Dry	m.0wtfycm
61	The Baying of the Hounds	m.0143xrg
62	Cemetery Gates	m.0rq837
63	I'll Cast a Shadow	m.0mlyss
64	Yesterday Don't Mean Shit	m.0ldnv9
65	Unspoken	m.0nmr1hy
66	Silver Lining	m.0nmphrb
