eid	pid	name	entity
0	3	Up the Downstair	m.0twntz
1	8	Tornado Of Souls	m.0xt3h5
2	64	The End of the Beginning	m.0ftd33x
3	72	Brand New Start	m.0dnh50s
4	81	I Drive the Hearse	m.0dv3tc3
5	82	Circle of Manias	m.0dv3tbb
6	87	Octane Twisted	m.0dv3t1r
7	99	Kneel and Disconnect	m.0dv3t2h
8	101	Mr. Crowley	m.0z32_f
9	117	Darkness and Frost	m.0rh6gs2
10	120	Summer Moved On	m.0l1vj8
11	125	Silent Scream	m.0m73b8
12	159	Dissolving With the Night	m.0gb9b_g
13	161	Not Beautiful Anymore	m.0133hnr
14	181	Revolution Is My Name	m.0152wr5
15	188	Silent Night, Bodom Night	m.0149kfp
16	190	Street Fighting Man	m.0mv78_
17	227	Hunting Song	m.01brlkd
18	244	Words Darker Than Their Wings	m.0fybsr8
19	253	Make It Right	m.0f_1fxs
20	254	Still Remains	m.0fvj91f
21	261	Ghost Of Days Gone By	m.0fvmnrg
22	296	Sectarian	m.0nl81h1
23	306	Master Of The Moon	m.015w5dk
24	310	Kill Your Heroes	m.0nn5skz
25	311	Thunderhorse	m.0dql0fk
26	330	My Jekyll Doesn't Hide	m.0p5_8j
27	369	Harmony Korine	m.0fqpjj1
28	377	Intermediate Jesus	m.0n7gjw
29	380	We Got Used To Us	m.0sjt5t_
30	387	Little James	m.0tgfcc
31	392	Act of Desperation	m.0gdtjc7
32	395	Unholy Confessions	m.0z3hbh
33	405	Silent Scream	m.0rm02n
34	409	Triple Corpse Hammerblow	m.0p6qqv
35	419	Sixpounder	m.0xckqf
36	446	Never Enough	m.012gpq1
37	449	Only Child	m.0ft8vhj
38	459	Blackfield	m.0vfqm6
39	474	Dio	m.0lzr7t
40	475	Kickapoo	m.0dr08gk
41	488	Lonely Is the Word	m.0lgrbl
42	493	Blinded in Chains	m.016ts5h
43	494	Burn It Down	m.019yc4k
44	530	Helpless	m.0l5svt
45	533	Left Out	m.0d_r368
46	537	Egoist Hedonist	m.0dql_rn
47	582	Technical Difficulties	m.0txg20
48	590	Rust Never Sleeps	m.0fvjggg
49	594	Can't Stop	m.0f5yx9n
50	596	Director's Cut	m.0gdtjbl
51	599	Forever and a Day	m.0v5ldf
52	617	Scars	m.0vfqmn
53	621	Burning My Soul	m.0lj3bl
54	631	These Days	m.0nnk21k
55	674	The Small Print	m.012ctc5
56	678	Fragile Dreams	m.0pgfjc
57	689	Farther Than The Sun	m.0wt43vt
58	690	Cry A River	m.0wt2bsw
59	693	The Uninvited	m.0wt2g3f
60	694	Bleed It Dry	m.0wtfycm
61	707	The Baying of the Hounds	m.0143xrg
62	708	Cemetery Gates	m.0rq837
63	716	I'll Cast a Shadow	m.0mlyss
64	721	Yesterday Don't Mean Shit	m.0ldnv9
65	781	Unspoken	m.0nmr1hy
66	792	Silver Lining	m.0nmphrb
67	793	Illuminated	m.0rftt56
68	800	Sword Chant	m.0yjlxq
69	808	Battle Song	m.019h6g1
70	815	Treacherous Gods	m.019h6fm
71	817	Abandoned	m.019h6f5
72	844	Prediction of Warfare	m.01c_ztc
