entity_head	relation	entity_tail
6663	0	12492
6079	0	12493
95	0	12494
6422	0	12496
5641	0	12498
12004	0	12501
2664	0	12504
8546	0	12505
8503	0	12506
10289	0	12508
10289	0	12509
9730	0	12510
4648	0	12511
7753	0	12512
9599	0	12513
1053	0	12514
3460	0	12515
10392	0	12516
10357	0	12517
1349	0	12518
6811	0	12519
8883	0	12520
10503	0	12523
6996	0	12526
2211	0	12527
2588	0	12530
6283	0	12532
6825	0	12533
3811	0	12534
8361	0	12535
5363	0	12536
5229	0	12537
4944	0	12539
6052	0	12541
7245	0	12544
4793	0	12545
9933	0	12547
1428	0	12548
1102	0	12550
1599	0	12554
8464	0	12555
3601	0	12556
6629	0	12557
11836	0	12558
10482	0	12559
5110	0	12560
8129	0	12561
10834	0	12562
8818	0	12563
4464	0	12564
4514	0	12564
11584	0	12565
6190	0	12566
11594	0	12570
2674	0	12571
4087	0	12572
640	0	12573
6571	0	12513
11871	0	12574
7633	0	12575
1200	0	12576
674	0	12577
2707	0	12578
10919	0	12581
7826	0	12582
934	0	12583
958	0	12584
10176	0	12585
3052	0	12586
4273	0	12587
11012	0	12588
11906	0	12589
11664	0	12594
10881	0	12595
8537	0	12596
12300	0	12597
260	0	12599
7987	0	12600
7987	0	12601
440	0	12602
7378	0	12603
9108	0	12604
11941	0	12605
9542	0	12606
4737	0	12608
8157	0	12610
4740	0	12611
9465	0	12612
11637	0	12613
10913	0	12614
4846	0	12606
6622	0	12619
9139	0	12622
2124	0	12626
2806	0	12629
6051	0	12630
11421	0	12631
6671	0	12632
3574	0	12633
399	0	12634
2693	0	12636
11608	0	12637
12258	0	12638
1008	0	12639
9433	0	12643
7377	0	12645
4100	0	12646
4400	0	12647
1374	0	12648
4667	0	12649
355	0	12651
4262	0	12652
1000	0	12654
8726	0	12656
7226	0	12658
10099	0	12660
1039	0	12661
3531	0	12664
3421	0	12665
4263	0	12667
5208	0	12668
8913	0	12669
9783	0	12670
5893	0	12660
8292	0	12671
9761	0	12673
8226	0	12674
9889	0	12675
9827	0	12676
4046	0	12678
1588	0	12680
164	0	12682
5035	0	12683
8671	0	12686
12436	0	12687
1496	0	12688
11263	0	12613
10149	0	12660
10362	0	12689
9308	0	12690
3490	0	12691
613	0	12692
1152	0	12693
4269	0	12695
9256	0	12697
11926	0	12698
2788	0	12699
4379	0	12700
12149	0	12701
10079	0	12702
2983	0	12703
9519	0	12704
4970	0	12705
1127	0	12706
11358	0	12707
7238	0	12708
6364	0	12709
64	0	12494
6303	0	12633
6200	0	12710
10678	0	12711
10629	0	12713
5184	0	12714
4661	0	12715
10997	0	12716
10021	0	12682
696	0	12719
579	0	12720
8408	0	12721
7250	0	12722
10441	0	12724
10633	0	12725
9686	0	12726
5761	0	12727
1902	0	12728
10204	0	12729
4553	0	12730
1876	0	12698
5121	0	12731
9545	0	12732
8065	0	12733
11013	0	12734
5661	0	12735
4953	0	12539
3614	0	12738
2390	0	12741
351	0	12742
3681	0	12745
6774	0	12695
6774	0	12696
3645	0	12746
7936	0	12747
7900	0	12747
6244	0	12748
10624	0	12726
3242	0	12749
2045	0	12750
6773	0	12751
9586	0	12752
8722	0	12753
10396	0	12754
1859	0	12755
8054	0	12758
9119	0	12759
11457	0	12761
6747	0	12765
1285	0	12766
