uid	age	gender
1003134	25-34	M
1003798	25-34	M
1005261	25-34	M
1008023	25-34	M
1010145	25-34	M
1018542	35-44	M
1023672	18-24	F
1026493	25-34	M
1035020	25-34	M
1039046	35-44	M
1039205	35-44	M
1041209	25-34	M
1041403	25-34	M
1044535	35-44	M
1044776	25-34	M
1045824	25-34	M
1046264	35-44	F
1047533	25-34	M
1048016	25-34	M
1048362	25-34	M
1049298	45-49	M
1051870	25-34	M
1053592	25-34	M
1054946	25-34	M
1058825	25-34	M
1059156	25-34	F
1066049	25-34	M
1077321	18-24	M
2005054	25-34	M
2008475	25-34	M
2016788	25-34	M
2017294	25-34	M
2019942	25-34	M
2030825	25-34	M
2048518	35-44	M
2048948	25-34	M
2059839	25-34	M
2061069	18-24	M
2063610	25-34	M
2064055	35-44	M
2069487	25-34	M
2070648	18-24	F
2073565	25-34	M
2076242	35-44	M
2085748	18-24	M
2093901	25-34	M
2096037	25-34	M
2101299	35-44	M
2103423	25-34	M
2110826	25-34	F
2121794	25-34	M
2131600	25-34	M
2137578	45-49	M
2140155	25-34	M
2140839	25-34	M
2143627	25-34	M
2150262	18-24	M
2151998	25-34	M
2158309	25-34	M
2162156	35-44	M
2162162	25-34	M
2164753	18-24	M
2167262	18-24	M
2170339	18-24	M
2176276	18-24	M
2177008	25-34	M
2180051	25-34	F
2181602	25-34	M
2186803	25-34	M
2189202	25-34	M
2192894	35-44	M
2195865	25-34	M
2197281	25-34	M
2198965	18-24	M
2204896	25-34	M
2207841	25-34	M
2222413	25-34	M
2226960	35-44	M
2227566	25-34	M
2230712	25-34	M
2235610	35-44	M
2240207	25-34	M
2241192	25-34	M
2242663	25-34	F
2246769	25-34	F
2248978	18-24	F
2255135	35-44	M
2262515	25-34	F
2265552	25-34	M
2266344	25-34	M
2274811	25-34	M
2279424	25-34	M
2283870	25-34	M
2288779	25-34	M
2292633	25-34	F
2304843	25-34	M
2311227	18-24	M
2312011	35-44	M
2315261	25-34	M
2322458	25-34	M
2323914	35-44	M
2326592	25-34	M
2327961	25-34	M
2339717	25-34	M
2348952	25-34	M
2350911	25-34	M
2355345	18-24	M
2359678	35-44	M
2372941	25-34	M
2374836	25-34	M
2375403	18-24	M
2375432	35-44	M
2379522	18-24	M
2381673	35-44	M
