eid	name	entity
0	The_Phantom_of_the_Opera_(1925_film)	http://dbpedia.org/resource/The_Phantom_of_the_Opera_(1925_film)
1	Monty_Python's_Life_of_Brian	http://dbpedia.org/resource/Monty_Python's_Life_of_Brian
2	The_Quest_(film)	http://dbpedia.org/resource/The_Quest_(film)
3	The_Omega_Code	http://dbpedia.org/resource/The_Omega_Code
4	Star_Trek:_Insurrection	http://dbpedia.org/resource/Star_Trek:_Insurrection
5	The_Next_Best_Thing	http://dbpedia.org/resource/The_Next_Best_Thing
6	Tall_Tale_(film)	http://dbpedia.org/resource/Tall_Tale_(film)
7	Junior_(1994_film)	http://dbpedia.org/resource/Junior_(1994_film)
8	52_Pick-Up	http://dbpedia.org/resource/52_Pick-Up
9	The_Slipper_and_the_Rose	http://dbpedia.org/resource/The_Slipper_and_the_Rose
10	The_Pope_of_Greenwich_Village	http://dbpedia.org/resource/The_Pope_of_Greenwich_Village
11	The_Bridge_on_the_River_Kwai	http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai
12	Heavy_(film)	http://dbpedia.org/resource/Heavy_(film)
13	%22Crocodile%22_Dundee_II	http://dbpedia.org/resource/%22Crocodile%22_Dundee_II
14	Kids_in_the_Hall:_Brain_Candy	http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy
15	Blown_Away_(1994_film)	http://dbpedia.org/resource/Blown_Away_(1994_film)
16	Lord_of_Illusions	http://dbpedia.org/resource/Lord_of_Illusions
17	Duck_Soup_(1933_film)	http://dbpedia.org/resource/Duck_Soup_(1933_film)
18	Rules_of_Engagement_(film)	http://dbpedia.org/resource/Rules_of_Engagement_(film)
19	Love_in_the_Afternoon_(1957_film)	http://dbpedia.org/resource/Love_in_the_Afternoon_(1957_film)
20	Last_Summer_in_the_Hamptons	http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
21	Con_Air	http://dbpedia.org/resource/Con_Air
22	Shall_We_Dance_(1937_film)	http://dbpedia.org/resource/Shall_We_Dance_(1937_film)
23	Baby:_Secret_of_the_Lost_Legend	http://dbpedia.org/resource/Baby:_Secret_of_the_Lost_Legend
24	Jack_Frost_(1998_film)	http://dbpedia.org/resource/Jack_Frost_(1998_film)
25	The_Time_Traveler's_Wife_(film)	http://dbpedia.org/resource/The_Time_Traveler's_Wife_(film)
26	Dead_Men_Don't_Wear_Plaid	http://dbpedia.org/resource/Dead_Men_Don't_Wear_Plaid
27	The_Minus_Man	http://dbpedia.org/resource/The_Minus_Man
28	Better_Off_Dead_(film)	http://dbpedia.org/resource/Better_Off_Dead_(film)
29	Hamlet_(1990_film)	http://dbpedia.org/resource/Hamlet_(1990_film)
30	Rocky	http://dbpedia.org/resource/Rocky
31	Air_Force_One_(film)	http://dbpedia.org/resource/Air_Force_One_(film)
32	Bloodsport_(film)	http://dbpedia.org/resource/Bloodsport_(film)
33	Everyone_Says_I_Love_You	http://dbpedia.org/resource/Everyone_Says_I_Love_You
34	White_Christmas_(film)	http://dbpedia.org/resource/White_Christmas_(film)
35	Two_Family_House	http://dbpedia.org/resource/Two_Family_House
36	Star_Kid	http://dbpedia.org/resource/Star_Kid
37	A_Touch_of_Class_(film)	http://dbpedia.org/resource/A_Touch_of_Class_(film)
38	Three_Colors:_Blue	http://dbpedia.org/resource/Three_Colors:_Blue
39	The_General_(1926_film)	http://dbpedia.org/resource/The_General_(1926_film)
40	The_Rock_(film)	http://dbpedia.org/resource/The_Rock_(film)
41	The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain	http://dbpedia.org/resource/The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain
42	All_Quiet_on_the_Western_Front_(1930_film)	http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1930_film)
43	The_Amazing_Panda_Adventure	http://dbpedia.org/resource/The_Amazing_Panda_Adventure
44	Congo_(film)	http://dbpedia.org/resource/Congo_(film)
45	Koyaanisqatsi	http://dbpedia.org/resource/Koyaanisqatsi
46	Spellbound_(1945_film)	http://dbpedia.org/resource/Spellbound_(1945_film)
47	Far_from_Home:_The_Adventures_of_Yellow_Dog	http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
48	Mystery_Men	http://dbpedia.org/resource/Mystery_Men
49	Hurricane_Streets	http://dbpedia.org/resource/Hurricane_Streets
50	Crimes_and_Misdemeanors	http://dbpedia.org/resource/Crimes_and_Misdemeanors
51	Polish_Wedding	http://dbpedia.org/resource/Polish_Wedding
52	The_Thing_(1982_film)	http://dbpedia.org/resource/The_Thing_(1982_film)
53	My_Best_Friend's_Wedding	http://dbpedia.org/resource/My_Best_Friend's_Wedding
54	Flying_Saucer_Daffy	http://dbpedia.org/resource/Flying_Saucer_Daffy
55	The_War_of_the_Worlds_(1953_film)	http://dbpedia.org/resource/The_War_of_the_Worlds_(1953_film)
56	The_Navigator:_A_Medieval_Odyssey	http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey
57	Barbarella_(film)	http://dbpedia.org/resource/Barbarella_(film)
58	Zeus_and_Roxanne	http://dbpedia.org/resource/Zeus_and_Roxanne
59	All_the_Vermeers_in_New_York	http://dbpedia.org/resource/All_the_Vermeers_in_New_York
60	October_Sky	http://dbpedia.org/resource/October_Sky
61	What_Lies_Beneath	http://dbpedia.org/resource/What_Lies_Beneath
62	The_Birdcage	http://dbpedia.org/resource/The_Birdcage
63	All_Dogs_Go_to_Heaven_2	http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2
64	Born_American	http://dbpedia.org/resource/Born_American
65	Batman_Forever	http://dbpedia.org/resource/Batman_Forever
66	Love_Affair_(1994_film)	http://dbpedia.org/resource/Love_Affair_(1994_film)
67	The_Muse_(1999_film)	http://dbpedia.org/resource/The_Muse_(1999_film)
68	The_Deer_Hunter	http://dbpedia.org/resource/The_Deer_Hunter
69	%22Crocodile%22_Dundee	http://dbpedia.org/resource/%22Crocodile%22_Dundee
70	Screamers_(1995_film)	http://dbpedia.org/resource/Screamers_(1995_film)
71	Geronimo:_An_American_Legend	http://dbpedia.org/resource/Geronimo:_An_American_Legend
72	Crooklyn	http://dbpedia.org/resource/Crooklyn
73	Terminal_Velocity_(film)	http://dbpedia.org/resource/Terminal_Velocity_(film)
74	Fandango_(1985_film)	http://dbpedia.org/resource/Fandango_(1985_film)
75	The_Flintstones_in_Viva_Rock_Vegas	http://dbpedia.org/resource/The_Flintstones_in_Viva_Rock_Vegas
76	Private_School_(film)	http://dbpedia.org/resource/Private_School_(film)
77	The_Best_Years_of_Our_Lives	http://dbpedia.org/resource/The_Best_Years_of_Our_Lives
78	Pee-wee's_Big_Adventure	http://dbpedia.org/resource/Pee-wee's_Big_Adventure
79	Full_Metal_Jacket	http://dbpedia.org/resource/Full_Metal_Jacket
80	A_Nightmare_on_Elm_Street_2:_Freddy's_Revenge	http://dbpedia.org/resource/A_Nightmare_on_Elm_Street_2:_Freddy's_Revenge
81	Beverly_Hills_Ninja	http://dbpedia.org/resource/Beverly_Hills_Ninja
82	Goldfinger_(film)	http://dbpedia.org/resource/Goldfinger_(film)
83	Vampire_in_Brooklyn	http://dbpedia.org/resource/Vampire_in_Brooklyn
84	Exotica_(film)	http://dbpedia.org/resource/Exotica_(film)
85	Sophie's_Choice_(film)	http://dbpedia.org/resource/Sophie's_Choice_(film)
86	Marathon_Man_(film)	http://dbpedia.org/resource/Marathon_Man_(film)
87	Peter_Pan_(1953_film)	http://dbpedia.org/resource/Peter_Pan_(1953_film)
88	Nightwatch_(1997_film)	http://dbpedia.org/resource/Nightwatch_(1997_film)
89	Labyrinth_(film)	http://dbpedia.org/resource/Labyrinth_(film)
90	Mrs._Miniver_(film)	http://dbpedia.org/resource/Mrs._Miniver_(film)
91	The_'Burbs	http://dbpedia.org/resource/The_'Burbs
92	Lone_Star_(1996_film)	http://dbpedia.org/resource/Lone_Star_(1996_film)
93	Meatballs_Part_II	http://dbpedia.org/resource/Meatballs_Part_II
94	The_Taming_of_the_Shrew_(1967_film)	http://dbpedia.org/resource/The_Taming_of_the_Shrew_(1967_film)
95	Basquiat_(film)	http://dbpedia.org/resource/Basquiat_(film)
96	M._Butterfly_(film)	http://dbpedia.org/resource/M._Butterfly_(film)
97	Tommy_Boy	http://dbpedia.org/resource/Tommy_Boy
98	Poetic_Justice_(film)	http://dbpedia.org/resource/Poetic_Justice_(film)
99	Love_&_Sex	http://dbpedia.org/resource/Love_&_Sex
100	Urban_Legend_(film)	http://dbpedia.org/resource/Urban_Legend_(film)
101	From_the_Hip_(film)	http://dbpedia.org/resource/From_the_Hip_(film)
102	The_Dirty_Dozen:_Next_Mission	http://dbpedia.org/resource/The_Dirty_Dozen:_Next_Mission
103	Cutter's_Way	http://dbpedia.org/resource/Cutter's_Way
104	Urbania_(film)	http://dbpedia.org/resource/Urbania_(film)
105	The_Devil_Rides_Out_(film)	http://dbpedia.org/resource/The_Devil_Rides_Out_(film)
106	Color_of_Night	http://dbpedia.org/resource/Color_of_Night
