eid	pid	name	entity
0	761	The_Phantom_of_the_Opera_(1925_film)	http://dbpedia.org/resource/The_Phantom_of_the_Opera_(1925_film)
1	1080	Monty_Python's_Life_of_Brian	http://dbpedia.org/resource/Monty_Python's_Life_of_Brian
2	704	The_Quest_(film)	http://dbpedia.org/resource/The_Quest_(film)
3	2965	The_Omega_Code	http://dbpedia.org/resource/The_Omega_Code
4	2393	Star_Trek:_Insurrection	http://dbpedia.org/resource/Star_Trek:_Insurrection
5	3325	The_Next_Best_Thing	http://dbpedia.org/resource/The_Next_Best_Thing
6	2103	Tall_Tale_(film)	http://dbpedia.org/resource/Tall_Tale_(film)
7	256	Junior_(1994_film)	http://dbpedia.org/resource/Junior_(1994_film)
8	2475	52_Pick-Up	http://dbpedia.org/resource/52_Pick-Up
9	3612	The_Slipper_and_the_Rose	http://dbpedia.org/resource/The_Slipper_and_the_Rose
10	2347	The_Pope_of_Greenwich_Village	http://dbpedia.org/resource/The_Pope_of_Greenwich_Village
11	1250	The_Bridge_on_the_River_Kwai	http://dbpedia.org/resource/The_Bridge_on_the_River_Kwai
12	764	Heavy_(film)	http://dbpedia.org/resource/Heavy_(film)
13	2471	%22Crocodile%22_Dundee_II	http://dbpedia.org/resource/%22Crocodile%22_Dundee_II
14	663	Kids_in_the_Hall:_Brain_Candy	http://dbpedia.org/resource/Kids_in_the_Hall:_Brain_Candy
15	423	Blown_Away_(1994_film)	http://dbpedia.org/resource/Blown_Away_(1994_film)
16	177	Lord_of_Illusions	http://dbpedia.org/resource/Lord_of_Illusions
17	1256	Duck_Soup_(1933_film)	http://dbpedia.org/resource/Duck_Soup_(1933_film)
18	3513	Rules_of_Engagement_(film)	http://dbpedia.org/resource/Rules_of_Engagement_(film)
19	937	Love_in_the_Afternoon_(1957_film)	http://dbpedia.org/resource/Love_in_the_Afternoon_(1957_film)
20	84	Last_Summer_in_the_Hamptons	http://dbpedia.org/resource/Last_Summer_in_the_Hamptons
21	1552	Con_Air	http://dbpedia.org/resource/Con_Air
22	1066	Shall_We_Dance_(1937_film)	http://dbpedia.org/resource/Shall_We_Dance_(1937_film)
23	3401	Baby:_Secret_of_the_Lost_Legend	http://dbpedia.org/resource/Baby:_Secret_of_the_Lost_Legend
24	2392	Jack_Frost_(1998_film)	http://dbpedia.org/resource/Jack_Frost_(1998_film)
25	864	The_Time_Traveler's_Wife_(film)	http://dbpedia.org/resource/The_Time_Traveler's_Wife_(film)
26	2110	Dead_Men_Don't_Wear_Plaid	http://dbpedia.org/resource/Dead_Men_Don't_Wear_Plaid
27	2844	The_Minus_Man	http://dbpedia.org/resource/The_Minus_Man
28	1257	Better_Off_Dead_(film)	http://dbpedia.org/resource/Better_Off_Dead_(film)
29	3723	Hamlet_(1990_film)	http://dbpedia.org/resource/Hamlet_(1990_film)
30	1954	Rocky	http://dbpedia.org/resource/Rocky
31	1608	Air_Force_One_(film)	http://dbpedia.org/resource/Air_Force_One_(film)
32	3444	Bloodsport_(film)	http://dbpedia.org/resource/Bloodsport_(film)
33	1057	Everyone_Says_I_Love_You	http://dbpedia.org/resource/Everyone_Says_I_Love_You
34	3675	White_Christmas_(film)	http://dbpedia.org/resource/White_Christmas_(film)
35	3951	Two_Family_House	http://dbpedia.org/resource/Two_Family_House
36	1750	Star_Kid	http://dbpedia.org/resource/Star_Kid
37	2241	A_Touch_of_Class_(film)	http://dbpedia.org/resource/A_Touch_of_Class_(film)
38	307	Three_Colors:_Blue	http://dbpedia.org/resource/Three_Colors:_Blue
39	3022	The_General_(1926_film)	http://dbpedia.org/resource/The_General_(1926_film)
40	733	The_Rock_(film)	http://dbpedia.org/resource/The_Rock_(film)
41	468	The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain	http://dbpedia.org/resource/The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain
42	1927	All_Quiet_on_the_Western_Front_(1930_film)	http://dbpedia.org/resource/All_Quiet_on_the_Western_Front_(1930_film)
43	146	The_Amazing_Panda_Adventure	http://dbpedia.org/resource/The_Amazing_Panda_Adventure
44	160	Congo_(film)	http://dbpedia.org/resource/Congo_(film)
45	1289	Koyaanisqatsi	http://dbpedia.org/resource/Koyaanisqatsi
46	931	Spellbound_(1945_film)	http://dbpedia.org/resource/Spellbound_(1945_film)
47	238	Far_from_Home:_The_Adventures_of_Yellow_Dog	http://dbpedia.org/resource/Far_from_Home:_The_Adventures_of_Yellow_Dog
48	2723	Mystery_Men	http://dbpedia.org/resource/Mystery_Men
49	1659	Hurricane_Streets	http://dbpedia.org/resource/Hurricane_Streets
50	2973	Crimes_and_Misdemeanors	http://dbpedia.org/resource/Crimes_and_Misdemeanors
51	2007	Polish_Wedding	http://dbpedia.org/resource/Polish_Wedding
52	2288	The_Thing_(1982_film)	http://dbpedia.org/resource/The_Thing_(1982_film)
53	1569	My_Best_Friend's_Wedding	http://dbpedia.org/resource/My_Best_Friend's_Wedding
54	2658	Flying_Saucer_Daffy	http://dbpedia.org/resource/Flying_Saucer_Daffy
55	2662	The_War_of_the_Worlds_(1953_film)	http://dbpedia.org/resource/The_War_of_the_Worlds_(1953_film)
56	2173	The_Navigator:_A_Medieval_Odyssey	http://dbpedia.org/resource/The_Navigator:_A_Medieval_Odyssey
57	674	Barbarella_(film)	http://dbpedia.org/resource/Barbarella_(film)
58	1426	Zeus_and_Roxanne	http://dbpedia.org/resource/Zeus_and_Roxanne
59	3531	All_the_Vermeers_in_New_York	http://dbpedia.org/resource/All_the_Vermeers_in_New_York
60	2501	October_Sky	http://dbpedia.org/resource/October_Sky
61	3798	What_Lies_Beneath	http://dbpedia.org/resource/What_Lies_Beneath
62	141	The_Birdcage	http://dbpedia.org/resource/The_Birdcage
63	631	All_Dogs_Go_to_Heaven_2	http://dbpedia.org/resource/All_Dogs_Go_to_Heaven_2
64	3443	Born_American	http://dbpedia.org/resource/Born_American
65	153	Batman_Forever	http://dbpedia.org/resource/Batman_Forever
66	270	Love_Affair_(1994_film)	http://dbpedia.org/resource/Love_Affair_(1994_film)
67	2829	The_Muse_(1999_film)	http://dbpedia.org/resource/The_Muse_(1999_film)
68	1263	The_Deer_Hunter	http://dbpedia.org/resource/The_Deer_Hunter
69	2470	%22Crocodile%22_Dundee	http://dbpedia.org/resource/%22Crocodile%22_Dundee
70	76	Screamers_(1995_film)	http://dbpedia.org/resource/Screamers_(1995_film)
71	458	Geronimo:_An_American_Legend	http://dbpedia.org/resource/Geronimo:_An_American_Legend
72	352	Crooklyn	http://dbpedia.org/resource/Crooklyn
73	548	Terminal_Velocity_(film)	http://dbpedia.org/resource/Terminal_Velocity_(film)
74	2073	Fandango_(1985_film)	http://dbpedia.org/resource/Fandango_(1985_film)
75	3564	The_Flintstones_in_Viva_Rock_Vegas	http://dbpedia.org/resource/The_Flintstones_in_Viva_Rock_Vegas
76	3691	Private_School_(film)	http://dbpedia.org/resource/Private_School_(film)
77	1939	The_Best_Years_of_Our_Lives	http://dbpedia.org/resource/The_Best_Years_of_Our_Lives
78	3608	Pee-wee's_Big_Adventure	http://dbpedia.org/resource/Pee-wee's_Big_Adventure
