entity_head	relation	entity_tail
1697	0	4132
490	0	10064
472	0	11385
655	0	5896
385	0	13536
274	0	9763
2918	0	13271
1844	0	12889
1095	0	11674
109	0	6993
2759	0	9962
375	0	12441
2816	0	12889
555	0	6827
813	0	11797
1137	0	4025
1758	0	5080
1036	0	11023
383	0	12606
1067	0	10716
1926	0	7744
328	0	10669
81	0	8377
487	0	7026
2362	0	10533
2092	0	10916
171	0	10805
286	0	5513
384	0	10475
2630	0	4283
469	0	13469
1955	0	12889
215	0	6688
305	0	3111
1825	0	11023
1478	0	6827
158	0	8802
2484	0	5191
2330	0	8794
2778	0	3429
1835	0	3342
447	0	4776
1879	0	4132
1744	0	7331
464	0	13395
8	0	13002
2579	0	12889
2854	0	12259
1294	0	10915
2215	0	10654
398	0	13271
1963	0	9455
2547	0	12388
990	0	7597
2207	0	5076
516	0	6001
1289	0	12316
1176	0	6827
1637	0	8831
697	0	3984
124	0	4266
120	0	5896
1377	0	9213
1358	0	11642
1871	0	4756
1387	0	10040
388	0	5301
2362	0	11202
1617	0	11202
1270	0	9661
2919	0	13395
2811	0	9711
716	0	6827
2805	0	13018
1600	0	12503
544	0	13002
22	0	13497
1694	0	4283
1954	0	6823
2348	0	11202
1824	0	5452
1078	0	5301
205	0	5746
1836	0	6275
2552	0	8522
791	0	12071
763	0	4283
2236	0	8453
2844	0	10638
1854	0	8970
2692	0	9763
2812	0	10040
1716	0	8306
1080	0	12889
2720	0	13208
2133	0	7236
187	0	3111
1702	0	3688
1979	0	7851
2110	0	6827
623	0	10086
1721	0	9962
2321	0	10630
131	0	6296
722	0	12740
1430	0	7307
2737	0	12929
2297	0	7955
573	0	6751
2481	0	6823
1777	0	3983
2088	0	8831
1369	0	4970
1722	0	8306
1664	0	3111
2734	0	10142
2073	0	6827
1655	0	7566
1105	0	7757
546	0	6823
1701	0	5978
1403	0	10064
364	0	7373
2928	0	10638
451	0	10475
878	0	8593
10	0	11674
508	0	7307
272	0	6688
2127	0	8853
2601	0	7026
1757	0	7811
522	0	12503
320	0	7955
1733	0	8970
1707	0	5579
2245	0	3984
2001	0	4283
344	0	6993
2972	0	5837
941	0	8794
1752	0	8825
1109	0	3259
7	0	12889
2568	0	9247
1663	0	10669
22	0	13047
98	0	13536
2037	0	11797
430	0	10303
1182	0	12141
1749	0	5746
2450	0	10475
221	0	8502
244	0	7127
80	0	9786
1280	0	6512
319	0	8853
1921	0	3111
474	0	6692
2022	0	7851
2818	0	7373
2591	0	3121
1605	0	4086
1157	0	7359
94	0	8831
443	0	11023
2752	0	8802
2118	0	12606
1774	0	12606
2462	0	5301
822	0	10475
2030	0	5301
1982	0	4405
1386	0	5513
1175	0	7757
1911	0	8825
1619	0	9213
2252	0	5896
1741	0	9247
2874	0	13706
228	0	7359
1540	0	9020
145	0	12849
2263	0	12906
2965	0	4283
1560	0	7331
268	0	5191
2253	0	10142
1236	0	5231
1723	0	7236
2421	0	4464
1087	0	5231
980	0	5176
1612	0	3943
2682	0	7359
86	0	7566
2600	0	9455
133	0	6836
422	0	12889
1048	0	7026
786	0	5426
2081	0	10475
647	0	8794
513	0	4776
953	0	8306
1793	0	11101
1650	0	9661
1378	0	12889
948	0	6835
560	0	11040
633	0	10916
1074	0	13706
317	0	8847
2017	0	6805
1691	0	4283
2501	0	3121
2679	0	12177
2903	0	3174
1069	0	7253
1437	0	10475
1254	0	10852
2628	0	12141
785	0	12740
2618	0	13706
967	0	9275
2789	0	4425
2189	0	6431
2050	0	4378
161	0	3111
2847	0	6827
1437	0	8453
160	0	10994
2749	0	3984
758	0	8306
1374	0	13196
13	0	5176
31	0	5746
2817	0	3984
1201	0	12929
1504	0	12906
2169	0	4017
1852	0	5973
2329	0	6994
2144	0	3769
198	0	9718
489	0	5726
456	0	6823
1515	0	6651
1379	0	9711
230	0	5726
663	0	3540
147	0	11224
212	0	5076
739	0	9020
1992	0	10994
247	0	3156
50	0	3111
26	0	5076
907	0	3999
1458	0	10583
1225	0	4756
1465	0	10805
2756	0	5746
107	0	8853
1416	0	5191
561	0	5799
1961	0	12052
1900	0	6688
1158	0	6015
1775	0	12906
1076	0	3688
1939	0	13706
1693	0	5896
193	0	13271
1585	0	10096
1451	0	11467
1242	0	11674
968	0	5301
894	0	3943
2572	0	9533
91	0	8824
2923	0	11674
1332	0	9275
734	0	12316
68	0	6827
1106	0	4266
989	0	7373
481	0	13271
2469	0	3156
2441	0	12388
2360	0	4064
310	0	7955
2286	0	3943
1101	0	4025
1779	0	11945
315	0	5191
2825	0	7703
2077	0	9455
687	0	10142
2899	0	8473
2619	0	7055
330	0	6692
2781	0	6373
2642	0	8738
1260	0	7925
2089	0	5498
264	0	4970
184	0	3983
1687	0	10916
1958	0	8847
2537	0	7696
2372	0	13196
243	0	12141
1624	0	7817
451	0	5191
1819	0	6651
2370	0	12849
2546	0	12316
1364	0	3999
2795	0	11526
1281	0	3132
2418	0	5746
925	0	12954
491	0	6827
1539	0	6398
1391	0	13196
2859	0	5431
591	0	13271
1677	0	10303
731	0	5746
287	0	12929
295	0	6751
610	0	4025
534	0	6835
1009	0	10290
2131	0	11859
901	0	7241
2925	0	12606
1998	0	10533
2681	0	7236
1699	0	5837
569	0	6898
2968	0	5076
2456	0	12052
874	0	11023
2473	0	3999
1665	0	13469
1277	0	12820
566	0	7817
2610	0	6823
726	0	6835
1673	0	6002
2740	0	9275
1480	0	7597
2446	0	4358
2942	0	3999
2512	0	12177
1554	0	3983
43	0	9906
2960	0	7811
297	0	12052
2587	0	11642
233	0	4756
1084	0	9455
2796	0	3860
1300	0	13271
2150	0	5431
374	0	6805
1452	0	9718
2526	0	3688
801	0	8825
1363	0	7359
1376	0	13271
767	0	9763
2319	0	12141
2785	0	6836
1535	0	12029
2517	0	5726
2525	0	10856
2366	0	8853
664	0	7410
654	0	4405
1652	0	4266
2559	0	9906
1392	0	4425
1795	0	13469
2807	0	9786
1340	0	13271
2067	0	3983
2338	0	5837
1468	0	8306
2766	0	10638
1704	0	11202
1314	0	7703
1751	0	7851
2218	0	5301
1305	0	6275
876	0	8593
1909	0	10926
939	0	3230
1997	0	9786
44	0	12820
2074	0	7127
701	0	7307
1035	0	4726
2840	0	3243
2790	0	3983
711	0	4266
2799	0	11023
1934	0	11101
1133	0	5231
1218	0	7597
119	0	3984
2720	0	10915
214	0	7127
2440	0	6512
1837	0	9020
2340	0	13706
2101	0	12963
155	0	8802
1318	0	6001
506	0	6275
2459	0	5076
2062	0	6994
1549	0	13002
1828	0	9181
55	0	5498
2739	0	8502
878	0	8522
2271	0	3230
1149	0	8514
638	0	10096
2511	0	10583
1500	0	8825
466	0	3983
128	0	9020
1124	0	11023
424	0	3983
1949	0	5726
163	0	8473
1336	0	9020
2426	0	9620
991	0	11674
2182	0	6827
311	0	5191
656	0	12727
1274	0	11023
584	0	12849
1870	0	3156
336	0	5301
2341	0	3999
712	0	10994
1985	0	7241
445	0	9220
1967	0	13789
1891	0	11674
2551	0	13018
575	0	8109
2876	0	8109
323	0	11797
740	0	6002
1021	0	4749
896	0	12606
1792	0	3111
1865	0	7307
615	0	10290
1414	0	11642
507	0	11674
781	0	12820
1689	0	8377
2142	0	4086
2239	0	6993
342	0	12889
42	0	4086
921	0	13196
743	0	10096
2422	0	10669
1323	0	7696
1481	0	9906
1571	0	8831
309	0	9455
2442	0	13523
2555	0	9247
2365	0	8522
1438	0	12954
2375	0	10654
2383	0	11034
780	0	5973
2185	0	8831
1	0	11308
1639	0	13536
2466	0	5431
2549	0	5431
1265	0	8473
1636	0	3999
2670	0	3230
2231	0	6835
1065	0	6015
1804	0	5513
1861	0	11797
933	0	5231
146	0	3111
2452	0	4086
1762	0	12052
465	0	7236
1940	0	5191
29	0	13706
837	0	11224
1514	0	10142
1545	0	13208
2046	0	11674
2952	0	10096
1907	0	3943
1538	0	8522
2949	0	6431
834	0	12889
1317	0	10630
460	0	10583
1645	0	7307
1970	0	6835
48	0	6805
2804	0	3121
681	0	5176
1247	0	10654
2396	0	5176
2869	0	6827
1313	0	7331
2014	0	10086
1607	0	6751
78	0	5431
984	0	5346
1366	0	8853
2292	0	3111
324	0	10290
2487	0	11308
803	0	6993
110	0	6751
1444	0	11037
2674	0	3769
1194	0	13469
1443	0	5191
2584	0	5799
2713	0	3230
1602	0	7373
18	0	4025
2278	0	10669
994	0	10583
56	0	5896
1821	0	6398
174	0	7811
2147	0	6835
2701	0	5973
192	0	5080
651	0	8458
1221	0	13706
431	0	9711
2444	0	10716
1362	0	13469
428	0	8853
2917	0	11040
2552	0	11040
2505	0	4726
408	0	9220
1436	0	4405
28	0	8738
1018	0	13258
1738	0	8473
1581	0	8306
1246	0	9763
2582	0	11674
152	0	8970
2665	0	12606
222	0	4378
83	0	3156
1734	0	12141
2303	0	5301
154	0	3769
1333	0	3243
2358	0	12889
1014	0	4017
2277	0	7127
2048	0	10915
784	0	4283
1696	0	7410
501	0	4726
1877	0	8802
105	0	7696
1913	0	7696
2279	0	4776
1405	0	3943
1557	0	10994
1896	0	10583
213	0	12727
2455	0	4726
400	0	11674
289	0	8970
1215	0	8522
2135	0	6827
1132	0	8853
2260	0	5837
1005	0	6823
454	0	7026
902	0	9247
1537	0	11037
551	0	7591
1786	0	8377
2849	0	4425
2727	0	6015
2326	0	12889
1833	0	7817
631	0	4405
1930	0	9906
2433	0	3983
2822	0	5346
1056	0	12071
675	0	3156
1676	0	10086
1520	0	6296
2369	0	7925
2005	0	6827
1470	0	5176
1577	0	9906
1588	0	9275
84	0	7955
462	0	3540
1830	0	3342
809	0	5191
1223	0	5726
774	0	13497
2341	0	12929
1342	0	8514
851	0	10290
2524	0	11859
2324	0	12849
1928	0	10086
1887	0	9661
770	0	13536
871	0	12304
1484	0	12316
1475	0	7586
2173	0	4378
2070	0	9906
1663	0	13706
2837	0	11224
2659	0	5978
757	0	3540
2599	0	12906
2969	0	4086
2566	0	8794
1529	0	10533
1339	0	6805
1708	0	8824
2102	0	3984
1055	0	9755
1266	0	5579
2019	0	9020
1574	0	7253
2379	0	10638
280	0	7055
2103	0	5746
1142	0	7586
1977	0	9275
2363	0	5978
1203	0	11308
1940	0	11101
85	0	8453
2424	0	10290
2843	0	3121
1098	0	12849
1220	0	10630
724	0	9994
2927	0	10475
2317	0	13706
2590	0	3984
2746	0	5346
1146	0	7410
1864	0	9661
2024	0	7817
1791	0	12503
1173	0	11385
1479	0	8306
40	0	8473
2495	0	6770
1411	0	10086
2675	0	13536
2346	0	9213
2620	0	6512
2181	0	9962
2965	0	9755
1842	0	10669
209	0	8831
2514	0	3132
1679	0	8115
2242	0	7703
802	0	5973
608	0	5176
2327	0	5005
1517	0	8794
514	0	7026
2813	0	10846
2880	0	6898
2374	0	7032
482	0	10654
1256	0	8458
1552	0	10926
1051	0	10805
985	0	6827
2684	0	13497
1564	0	10856
368	0	5076
2405	0	12740
379	0	7851
2842	0	6912
981	0	4025
1648	0	12374
2060	0	5176
1389	0	6002
747	0	13018
1230	0	9906
1674	0	4064
766	0	13392
1822	0	5896
1120	0	12929
1857	0	9906
2519	0	11023
684	0	9620
2616	0	10475
1567	0	7925
1023	0	4756
135	0	13392
1291	0	7586
1610	0	3999
1331	0	8794
190	0	11101
130	0	7586
108	0	7586
2943	0	12740
235	0	12052
959	0	8825
24	0	11023
2264	0	8802
2833	0	5301
574	0	13271
1131	0	13002
512	0	3121
613	0	8824
4	0	12052
772	0	6836
89	0	5726
2006	0	5978
934	0	12820
1532	0	3999
607	0	9455
1880	0	8138
2196	0	4086
2845	0	8802
191	0	3243
1625	0	3860
2908	0	13208
162	0	8377
715	0	6751
2576	0	11202
226	0	7566
1461	0	4283
2777	0	8970
484	0	9247
2901	0	7744
2846	0	3342
173	0	7055
1863	0	11034
1141	0	12849
227	0	5080
1859	0	10475
2820	0	6994
2672	0	10040
749	0	9275
1121	0	8802
777	0	3540
2478	0	9994
1670	0	10856
2003	0	10290
600	0	5746
1974	0	6827
2391	0	13208
1973	0	7253
2634	0	12889
1899	0	9718
1575	0	11385
2435	0	10926
391	0	9213
635	0	8738
2881	0	3243
1047	0	8473
2008	0	10630
2395	0	3984
2900	0	5837
485	0	9020
1598	0	10349
2709	0	5973
240	0	6993
275	0	4283
404	0	3860
1150	0	10533
126	0	8825
1296	0	5837
2129	0	10852
1614	0	12849
2588	0	5076
1782	0	12177
433	0	13536
2673	0	13196
732	0	3769
2377	0	12929
1884	0	7410
1040	0	9718
2521	0	12503
2300	0	3983
863	0	13523
1191	0	10852
2907	0	9455
1046	0	5431
752	0	6898
244	0	9247
2412	0	3983
2707	0	7373
2751	0	12441
1497	0	11467
2036	0	3983
1903	0	11202
143	0	3429
762	0	5726
1905	0	5896
2246	0	6512
2560	0	7026
1809	0	4132
2304	0	7586
1329	0	3983
540	0	4726
1144	0	6692
1435	0	5746
654	0	8831
649	0	10805
390	0	12029
322	0	9994
895	0	13271
265	0	10064
897	0	7032
691	0	5837
185	0	8724
2671	0	3983
1061	0	4025
1771	0	13271
1110	0	6770
875	0	7127
2808	0	7410
710	0	10475
1490	0	7410
1925	0	11040
1044	0	8138
418	0	5301
1892	0	3540
138	0	4025
444	0	3429
2390	0	6946
2283	0	4266
2723	0	7955
253	0	10852
2649	0	12029
245	0	8802
1382	0	11642
1732	0	12606
2069	0	5035
1181	0	7817
2428	0	8306
810	0	3860
1043	0	6512
1273	0	3943
830	0	10852
2365	0	12141
2857	0	5346
708	0	4963
1179	0	6770
590	0	10994
612	0	9213
2230	0	6823
1229	0	12929
1200	0	7373
2354	0	5231
1279	0	7757
1190	0	7026
2394	0	6759
1399	0	5431
65	0	8970
970	0	11037
771	0	8458
1426	0	9962
1981	0	3156
293	0	12374
962	0	11674
854	0	6759
1180	0	7744
909	0	11859
2617	0	11023
338	0	10846
1598	0	10475
2947	0	5498
1143	0	8138
2494	0	10064
627	0	11674
645	0	5746
195	0	5005
284	0	5076
2255	0	4726
1248	0	7591
2945	0	12963
340	0	5191
1267	0	7253
1584	0	7955
1441	0	6651
2398	0	7359
643	0	9718
1589	0	4776
820	0	11034
844	0	5896
1365	0	5346
1028	0	6912
689	0	5746
588	0	10916
2850	0	12929
2554	0	12141
2167	0	3230
343	0	8473
998	0	4464
1890	0	5978
2235	0	10654
1827	0	8453
2310	0	12316
630	0	4283
53	0	11023
258	0	7026
1730	0	10583
277	0	12782
1686	0	10852
2824	0	9247
536	0	8109
760	0	12606
1739	0	7373
2107	0	12441
2733	0	6912
2747	0	10421
2858	0	3860
2626	0	7817
1972	0	13523
1635	0	9620
1948	0	10064
505	0	9181
553	0	6751
1359	0	11101
821	0	6512
334	0	9533
856	0	12849
2162	0	4726
1516	0	11642
2694	0	3999
2041	0	3230
2240	0	11674
2972	0	6898
369	0	11308
101	0	7026
526	0	9755
1679	0	4405
1524	0	3769
488	0	13536
1805	0	4756
2711	0	11202
2742	0	10064
73	0	7127
2011	0	3984
1097	0	3999
1341	0	6912
2504	0	11202
2143	0	7026
983	0	11040
1395	0	7851
2769	0	7817
97	0	5431
90	0	8847
281	0	4464
1442	0	8458
2774	0	6912
1188	0	11202
1564	0	7241
2973	0	8853
1555	0	11467
439	0	8738
500	0	12015
531	0	12906
2580	0	8831
2204	0	8970
688	0	13002
1755	0	12388
141	0	11674
178	0	9786
217	0	12052
2084	0	8970
1550	0	5498
1243	0	3983
2087	0	3769
693	0	10916
269	0	8306
1710	0	7586
2814	0	6770
421	0	10805
2522	0	7597
2261	0	11202
2503	0	3769
2597	0	10915
2492	0	12177
706	0	12374
1707	0	3342
2542	0	8831
971	0	3540
1920	0	9220
1402	0	10475
2347	0	10583
210	0	3259
1316	0	9455
775	0	12929
673	0	7591
2803	0	5726
2257	0	11674
2921	0	9620
2425	0	12740
2333	0	11797
2626	0	7331
180	0	11202
381	0	6651
2109	0	8138
2530	0	5176
1344	0	12052
2870	0	10443
2454	0	9455
137	0	11023
1085	0	11945
946	0	8724
1453	0	4283
2570	0	12727
1370	0	7373
2980	0	4017
2728	0	7925
999	0	12963
599	0	9755
1993	0	6373
249	0	5837
1255	0	7253
634	0	9455
815	0	10583
2007	0	13018
260	0	7482
1944	0	12820
1919	0	4017
1013	0	8802
1787	0	6993
454	0	13271
515	0	10852
814	0	5035
2883	0	12316
2026	0	12374
912	0	13271
1167	0	12441
1796	0	6827
1851	0	4266
2695	0	5176
2322	0	3243
614	0	13523
359	0	13395
570	0	5837
1983	0	12052
1808	0	11101
1034	0	11147
2099	0	7373
2801	0	7757
129	0	6805
33	0	3121
2866	0	7597
1882	0	6398
2016	0	3156
2244	0	13706
2691	0	7127
1208	0	5191
116	0	3983
79	0	4749
1108	0	12503
2410	0	4025
2786	0	4970
1626	0	6993
1232	0	5301
23	0	6994
2873	0	9763
476	0	13002
1011	0	6692
2281	0	6512
1922	0	7851
2443	0	3999
1154	0	5431
1027	0	4378
1140	0	3259
1117	0	12954
2916	0	12820
723	0	11224
2767	0	11385
1840	0	5346
499	0	12071
1111	0	7410
808	0	10040
1553	0	12820
2823	0	10846
1946	0	8453
46	0	5498
1712	0	7851
906	0	9533
1353	0	6275
1764	0	6912
617	0	3156
2538	0	9906
833	0	10638
2307	0	12963
642	0	9718
1428	0	11023
2178	0	9247
397	0	7026
2029	0	10716
2302	0	6912
2120	0	10303
2214	0	3983
641	0	11224
371	0	8853
2406	0	3769
2027	0	6002
1628	0	3766
2836	0	5746
283	0	5076
1986	0	5191
221	0	7925
1791	0	13018
1292	0	5191
2607	0	4358
1372	0	10096
2156	0	8109
1788	0	3999
251	0	8593
394	0	3259
1566	0	5231
2054	0	3132
66	0	3132
1486	0	12052
2237	0	12071
2741	0	4025
1736	0	13706
797	0	10142
737	0	8724
1690	0	9994
2655	0	6398
1898	0	5080
639	0	12963
1570	0	6751
2758	0	9755
2872	0	3259
62	0	6898
782	0	6836
1168	0	12820
1621	0	8824
1544	0	5431
96	0	12740
683	0	6835
1418	0	8970
1390	0	12889
354	0	7026
987	0	9755
1226	0	7566
887	0	6993
2290	0	9247
1081	0	8853
2287	0	13392
2563	0	5746
399	0	9906
1334	0	10994
1685	0	4726
1278	0	9994
1060	0	10421
2621	0	12849
1075	0	11023
1136	0	10852
2209	0	10583
1519	0	6805
1894	0	9275
2072	0	12141
2957	0	3766
2977	0	8109
1439	0	3174
1698	0	10638
542	0	5746
695	0	11224
240	0	10716
666	0	10926
1538	0	6688
2051	0	7925
1355	0	3230
2798	0	11034
1083	0	13395
2966	0	12740
179	0	10096
363	0	3540
2654	0	3156
773	0	8802
1715	0	4266
2669	0	11797
2712	0	6001
690	0	12441
1866	0	9906
389	0	3999
1151	0	7817
1419	0	12740
742	0	10669
1528	0	12727
1072	0	6898
982	0	7410
744	0	8306
504	0	8306
204	0	3132
1523	0	11797
2386	0	9213
2860	0	6398
872	0	11224
316	0	9181
2666	0	5431
1449	0	5231
2975	0	4283
21	0	12727
1672	0	13706
2780	0	10857
1724	0	5005
2898	0	3243
2715	0	7744
738	0	13047
1959	0	10916
2783	0	5452
2201	0	4266
1456	0	5076
2772	0	13392
2345	0	7236
2489	0	10630
865	0	3769
1004	0	12177
468	0	12052
790	0	5431
1301	0	7373
2313	0	6759
2298	0	12509
2730	0	9755
2421	0	6946
1115	0	5426
1654	0	6512
1183	0	9661
1129	0	10096
1767	0	7757
1766	0	7359
455	0	12316
1794	0	3230
1747	0	10096
2126	0	8377
219	0	12954
1850	0	4726
1099	0	10583
1161	0	5035
2010	0	5076
479	0	3540
1393	0	6751
1264	0	3121
660	0	3111
1210	0	8794
1929	0	8847
1642	0	5746
2158	0	6805
52	0	3983
1666	0	8853
1073	0	4358
437	0	11859
2912	0	7757
552	0	4025
1237	0	5231
545	0	10630
123	0	5301
662	0	9755
936	0	9455
1957	0	8458
2154	0	7373
148	0	4064
1592	0	6993
2458	0	6993
1943	0	6692
2867	0	4283
1042	0	4358
1803	0	5726
77	0	12304
239	0	5431
2541	0	4266
1356	0	8502
789	0	10926
811	0	5978
1431	0	10443
1100	0	13196
1187	0	8138
1609	0	8853
276	0	12052
1231	0	8824
509	0	12503
1798	0	11224
2890	0	9213
457	0	10533
2775	0	8522
82	0	4405
1675	0	9906
1508	0	4405
699	0	7715
2483	0	4283
263	0	12177
2605	0	6898
2841	0	8458
956	0	12441
2606	0	11797
2465	0	3983
2035	0	8306
2161	0	4405
1668	0	13018
2121	0	7331
1351	0	10916
103	0	6296
1373	0	7307
1931	0	8306
940	0	10475
2311	0	7307
1424	0	10654
725	0	3111
1601	0	9906
807	0	5746
2648	0	3230
2464	0	9181
1420	0	12441
543	0	9962
2385	0	5513
1906	0	3156
2254	0	11101
2506	0	5426
1719	0	10852
470	0	13497
1066	0	8853
1546	0	7359
2553	0	12954
1170	0	11034
2875	0	4726
1996	0	11526
196	0	6431
1148	0	6823
2703	0	3156
2507	0	6805
1312	0	13208
965	0	3156
1448	0	3983
1257	0	9247
486	0	7744
1806	0	12052
2624	0	8306
2331	0	7127
1572	0	8824
1498	0	3540
1812	0	8724
1726	0	7566
1680	0	10669
1622	0	9689
402	0	3999
1297	0	5579
1801	0	11467
1086	0	5837
1302	0	5973
1761	0	7331
1543	0	3984
2788	0	4025
69	0	5176
2954	0	6836
1476	0	5176
2025	0	12820
719	0	13706
787	0	3943
2460	0	12052
2213	0	4970
1536	0	4405
2593	0	13706
1494	0	7307
1556	0	10583
1306	0	7757
873	0	7026
601	0	6770
1904	0	10805
1737	0	11023
1015	0	3983
2339	0	8593
1711	0	12029
1268	0	12889
2163	0	7597
1454	0	7373
1445	0	4726
2787	0	6512
2770	0	10856
95	0	11385
1401	0	11467
60	0	5978
905	0	12304
2532	0	13497
273	0	3984
2203	0	8824
1253	0	11037
237	0	9247
2033	0	10716
1162	0	6823
332	0	4378
2020	0	7359
2308	0	5431
1138	0	11023
1969	0	9455
1718	0	6912
915	0	5452
140	0	7127
919	0	7851
467	0	8514
1629	0	6770
1006	0	9533
1778	0	12052
2200	0	3259
2111	0	10669
170	0	4970
1487	0	6651
1832	0	9718
1942	0	6002
2004	0	4756
436	0	7851
2371	0	3983
308	0	11308
1234	0	3999
2151	0	11526
2336	0	6835
189	0	6805
2208	0	12954
175	0	8724
1423	0	10064
947	0	7241
2763	0	7955
580	0	6373
2323	0	7032
866	0	12606
2829	0	10096
704	0	13047
2661	0	10443
1547	0	6296
2155	0	12316
950	0	12052
2676	0	5726
1867	0	9455
2645	0	7925
2145	0	10475
61	0	7744
261	0	8825
2389	0	11945
1463	0	4749
2113	0	13271
1932	0	6823
1206	0	7055
2902	0	6688
1964	0	7307
924	0	9994
1395	1	4308
2828	1	7431
2119	1	10645
2486	1	5334
521	1	9699
571	1	4029
2926	1	13801
2551	1	9901
1896	1	6887
2143	1	3541
2394	1	8470
1926	1	10151
1987	1	7616
2650	1	4515
460	1	4515
1885	1	11156
2371	1	4309
2655	1	4515
2958	1	11970
214	1	10151
107	1	6887
1100	1	3541
2713	1	9041
1656	1	7019
1850	1	9402
2116	1	4060
144	1	5589
1863	1	4221
2795	1	11427
180	1	9901
628	1	3125
2275	1	9208
2484	1	9901
2023	1	9901
2522	1	9452
1751	1	3989
171	1	4060
1075	1	13801
1527	1	8946
466	1	11931
623	1	6887
1619	1	13801
1922	1	6311
704	1	4029
1304	1	3100
1545	1	9452
2928	1	8531
948	1	6633
1690	1	8096
1135	1	11791
2378	1	5945
404	1	6633
549	1	11791
2708	1	8946
1619	1	6656
2785	1	9901
1015	1	9901
765	1	13215
425	1	6633
333	1	4308
993	1	4515
1490	1	6633
1136	1	3390
1406	1	12228
1079	1	11970
2855	1	13246
941	1	9452
749	1	4515
1538	1	13801
818	1	11781
2036	1	4515
679	1	5334
1839	1	7215
570	1	4060
1637	1	13801
1816	1	9443
2537	1	12249
940	1	4515
185	1	6722
2535	1	5334
1992	1	11621
2514	1	6887
2335	1	4515
1581	1	11401
2928	1	8554
1940	1	6633
2571	1	7329
2517	1	6887
2074	1	4515
1609	1	13711
2274	1	11970
137	1	11787
2443	1	4515
1469	1	10200
962	1	3962
300	1	3962
1376	1	8092
571	1	5334
854	1	3390
835	1	3100
1441	1	9901
2157	1	6887
2676	1	11787
2964	1	7305
96	1	4586
1349	1	5334
2132	1	3962
1528	1	11680
1578	1	4407
2379	1	7697
2593	1	7215
767	1	11791
1695	1	9431
2942	1	11791
2705	1	8470
1698	1	6633
1077	1	3351
2049	1	13026
1053	1	4515
1699	1	9901
2358	1	6887
517	1	3390
822	1	9452
563	1	8712
1403	1	11772
