new_id	pid
0	761
1	1080
2	704
3	2965
4	2393
5	3325
6	2103
7	256
8	2475
9	3612
10	2347
11	1250
12	764
13	2471
14	663
15	423
16	177
17	1256
18	3513
19	937
20	84
21	1552
22	1066
23	3401
24	2392
25	864
26	2110
27	2844
28	1257
29	3723
30	1954
31	1608
32	3444
33	1057
34	3675
35	3951
36	1750
37	2241
38	307
39	3022
40	733
41	468
42	1927
43	146
44	160
45	1289
46	931
47	238
48	2723
49	1659
50	2973
51	2007
52	2288
53	1569
54	2658
55	2662
56	2173
57	674
58	1426
59	3531
60	2501
61	3798
62	141
63	631
64	3443
65	153
66	270
67	2829
68	1263
69	2470
70	76
71	458
72	352
73	548
74	2073
75	3564
76	3691
77	1939
78	3608
79	1222
80	1969
81	1431
82	2947
83	93
84	233
85	1096
86	3551
87	2087
88	1355
89	1967
90	1936
91	2072
92	800
93	3041
94	3028
95	851
96	488
97	333
98	510
99	3885
100	2279
101	2751
102	2944
103	3731
104	3903
105	3875
106	436
107	3784
108	3179
109	3584
110	2088
111	523
112	258
113	3878
114	3672
115	452
116	3258
117	3805
118	2232
119	3733
120	340
121	2774
122	1624
123	1464
124	1973
125	3434
126	329
127	3303
128	379
129	2114
130	3498
131	2469
132	1749
133	1487
134	1837
135	3610
136	1854
137	169
138	2160
139	2611
140	3555
141	2574
142	1601
143	2645
144	3339
145	2015
146	289
147	1541
148	3107
149	1596
150	1864
151	1570
152	2000
153	3402
154	903
155	3547
156	1522
157	3776
158	2441
159	1191
160	479
161	2068
162	2195
163	1597
164	3913
165	3928
166	375
167	1214
168	1472
169	2492
170	2297
171	2107
172	244
173	1238
174	2278
175	2881
176	271
177	3008
178	3576
179	3155
180	2617
181	1167
182	3374
183	716
184	1855
185	3848
186	3357
187	2356
188	2196
189	648
190	2753
191	3159
192	3105
193	1438
194	953
195	10
196	188
197	1005
198	1635
199	2837
200	2542
201	2775
202	2975
203	3287
204	2433
205	292
206	364
207	2424
208	2487
209	3397
210	805
211	199
212	517
213	3147
214	1370
215	950
216	99
217	1021
218	3769
219	2464
220	405
221	1085
222	3548
223	3180
224	1024
225	957
226	1276
227	1363
228	3331
229	1636
230	1411
231	3045
232	1903
233	3218
234	1405
235	2468
236	3350
237	2397
238	3643
239	2109
240	3431
241	2693
242	1232
243	3347
244	2429
245	2622
246	1675
247	1334
248	408
249	1000
250	3062
251	1083
252	3918
253	197
254	2032
255	486
256	2434
257	3343
258	1408
259	1613
260	2727
261	2418
262	220
263	1904
264	1056
265	3079
266	671
267	2050
268	2410
269	2268
270	3161
271	2169
272	2644
273	490
274	2669
275	2408
276	1681
277	3925
278	1869
279	326
280	2745
281	2994
282	2518
283	457
284	2717
285	2180
286	2659
287	2106
288	1518
289	2414
290	96
291	850
292	1111
293	3824
294	1500
295	2971
296	3728
297	3710
298	2627
299	2862
300	779
301	3743
302	3730
303	2479
304	1666
305	3529
306	1471
307	3638
308	41
309	155
310	1719
311	711
312	3094
313	1941
314	1352
315	1380
316	3702
317	939
318	2267
319	3821
320	2439
321	1101
322	2571
323	3457
324	2808
325	554
326	487
327	1816
328	1242
329	3296
330	3865
331	1480
332	1104
333	1323
334	942
335	2075
336	1126
337	708
338	2043
339	205
340	1991
341	2338
342	587
343	295
344	1439
345	968
346	3846
347	3825
348	2458
349	3644
350	3524
351	1217
352	2041
353	692
354	422
355	920
356	3490
357	520
358	3036
359	501
360	2865
361	2647
362	3835
363	1306
364	3252
365	1566
366	1857
367	2815
368	1228
369	2968
370	3660
371	3005
372	1441
373	2596
374	2126
375	2549
376	3466
377	2062
378	2120
379	515
380	1878
381	3097
382	813
383	2560
384	2132
385	3146
386	2301
387	1612
388	1261
389	647
390	2488
391	3877
392	1178
393	3550
394	165
395	1502
396	1822
397	3006
398	1918
399	105
400	3649
401	1327
402	3051
403	1466
404	3927
405	3221
406	1919
407	3895
408	2395
409	184
410	535
411	2378
412	2550
413	2467
414	2061
415	3873
416	2886
417	2284
418	3273
419	2628
420	1029
421	75
422	589
423	3898
424	2902
425	2135
426	3921
427	1347
428	3203
429	2610
430	304
431	2038
432	3232
433	1453
434	808
435	3789
436	225
437	338
438	3747
439	2261
440	2653
441	1794
442	1870
443	502
444	2634
445	3019
446	2275
447	969
448	2325
449	1457
450	1752
451	1193
452	31
453	1595
454	1353
455	349
456	2616
457	538
458	1069
459	1850
460	1853
461	3132
462	1669
463	251
464	3163
465	2320
466	2987
467	3950
468	1356
469	1394
470	2537
471	3031
472	3866
473	469
474	1840
475	3719
476	2161
477	806
478	1930
479	1965
480	2262
481	132
482	3437
483	1667
484	2100
485	3669
486	237
487	3317
488	2798
489	2872
490	1839
491	1297
492	2130
493	2559
494	2412
495	2525
496	317
497	1088
498	659
499	3067
500	3309
501	3100
502	1495
503	2240
504	1627
505	653
506	2935
507	2755
508	391
509	3405
510	2679
511	2033
512	492
513	3657
514	2506
515	2915
516	1643
517	3614
518	1695
519	230
520	1807
521	2071
522	924
523	2866
524	1893
525	2605
526	3765
527	1416
528	2428
529	694
530	211
531	3426
532	3947
533	2383
534	2349
535	2882
536	2840
537	909
538	3363
539	2996
540	2370
541	1456
542	1339
543	782
544	2985
545	1523
546	1997
547	279
548	2831
549	3613
550	187
551	3128
552	880
553	382
554	183
555	540
556	2569
557	999
558	3834
559	1170
560	3341
561	1132
562	3580
563	606
564	2974
565	1929
566	3157
567	3857
568	2766
569	2340
570	3785
571	1032
572	1901
573	3167
574	196
575	3476
576	1169
577	1891
578	63
579	1551
580	3802
581	2095
582	1374
583	2516
584	2098
585	948
586	588
587	2725
588	550
589	341
590	1831
591	1645
592	1358
593	40
594	891
595	174
596	1168
597	135
598	2051
599	2683
600	472
601	1704
602	483
603	1547
604	3432
605	3919
606	2538
607	2734
608	1913
609	1151
610	3619
611	2804
612	2377
613	3868
614	2046
615	1687
616	1762
617	366
618	1925
619	2122
620	3127
621	1783
622	3430
623	1377
624	3721
625	732
626	1224
627	1003
628	2379
629	3783
630	164
631	2991
632	325
633	700
634	1246
635	1286
636	1734
637	2737
638	1888
639	743
640	3001
641	2125
642	525
643	1279
644	1836
645	2245
646	1688
647	2346
648	503
649	2713
650	1332
651	1113
652	2677
653	867
654	3639
655	499
656	650
657	916
658	2149
659	3695
660	195
661	3390
662	3712
663	1354
664	3285
665	1381
666	2427
667	698
668	2667
669	3838
670	1389
671	718
672	1990
673	1728
674	86
675	1923
676	2212
677	3153
678	1337
679	2079
680	1174
681	2070
682	551
683	273
684	3598
685	2027
686	1326
687	2650
688	2322
689	3684
690	1527
691	2714
692	2928
693	724
694	2391
695	1798
696	3696
697	2023
698	2674
699	2197
700	2129
701	801
702	2690
703	3711
704	945
705	476
706	446
707	425
708	1255
709	263
710	2682
711	3115
712	1972
713	1880
714	2018
715	3379
716	3738
717	3060
718	2252
719	3449
720	2101
721	1223
722	2657
723	433
724	1845
725	337
726	3108
727	1606
728	3452
729	930
730	3330
731	3326
732	2185
733	842
734	3527
735	3862
736	1202
737	640
738	907
739	3113
740	943
741	2665
742	2966
743	2497
744	1727
745	1317
746	3920
747	3039
748	1824
749	2498
750	298
751	2461
752	3081
753	3500
754	1844
755	3042
756	2809
757	1305
758	1090
759	3732
760	330
761	3483
762	434
763	2762
764	217
765	3694
766	1013
767	3451
768	1030
769	79
770	1985
771	2317
772	3556
773	1179
774	3333
775	2385
776	2507
777	2326
778	3572
779	455
780	3244
781	1097
782	2369
783	1423
784	3
785	2551
786	1885
787	1479
788	2164
789	266
790	3445
791	2496
792	1511
793	3794
794	3663
795	3847
796	3633
797	926
798	563
799	176
800	409
801	2982
802	2615
803	1371
804	3448
805	429
806	994
807	2474
808	64
809	2411
810	2520
811	2841
812	1275
813	3276
814	2115
815	2259
816	519
817	2381
818	1542
819	2594
820	290
821	2058
822	2764
823	824
824	13
825	594
826	2666
827	3624
828	1477
829	2281
830	2921
831	3905
832	3024
833	257
834	2260
835	1022
836	2500
837	2316
838	2151
839	2834
840	1105
841	3509
842	131
843	241
844	1271
845	3586
846	3874
847	3061
848	1980
849	1254
850	414
851	1686
852	1587
853	61
854	3943
855	1912
856	2035
857	2421
858	392
859	2289
860	3050
861	1920
862	1463
863	1392
864	3729
865	2181
866	1647
867	3421
868	2871
869	3611
870	3433
871	923
872	272
873	282
874	528
875	453
876	2660
877	2055
878	1207
879	1785
880	2981
881	1268
882	373
883	3872
884	2876
885	3563
886	2090
887	2922
888	2280
889	2453
890	514
891	245
892	1731
893	3199
894	1209
895	2749
896	3465
897	1100
898	2353
899	1484
900	3173
901	997
902	2407
903	2357
904	3539
905	2099
906	3076
907	1187
908	3138
909	2598
910	888
911	971
912	1958
913	1433
914	2398
915	1084
916	1940
917	3579
918	3450
919	3260
920	2477
921	615
922	2233
923	1388
924	2036
925	1722
926	2328
927	2086
928	2854
929	697
930	2203
931	1302
932	2938
933	3011
934	2739
935	2758
936	11
937	3596
938	2793
939	3391
940	992
941	3384
942	1378
943	1821
944	3194
945	2817
946	1804
947	2304
948	1199
949	2824
950	2134
951	1626
952	3017
953	288
954	2305
955	2580
956	1600
957	1589
958	2810
959	3844
960	2710
961	1476
962	281
963	2816
964	1767
965	2118
966	799
967	1588
968	1517
969	2150
970	1173
971	1273
972	228
973	861
974	38
975	2992
976	2894
977	461
978	2389
979	3475
980	354
981	5
982	47
983	905
984	3840
985	3141
986	566
987	255
988	633
989	830
990	2728
991	2733
992	2904
993	2085
994	2166
995	3602
996	3537
997	3587
998	3267
999	466
1000	1220
1001	3367
1002	3814
1003	1234
1004	846
1005	2283
1006	1946
1007	1657
1008	2796
1009	316
1010	3003
1011	639
1012	2163
1013	1543
1014	3129
1015	2011
1016	243
1017	90
1018	2901
1019	2951
1020	2857
1021	3889
1022	1585
1023	2318
1024	2820
1025	2941
1026	2177
1027	914
1028	344
1029	419
1030	3620
1031	1135
1032	929
1033	2171
1034	3473
1035	92
1036	3099
1037	2334
1038	2607
1039	3324
1040	3117
1041	297
1042	2526
1043	380
1044	2084
1045	2057
1046	3015
1047	413
1048	1617
1049	2029
1050	2244
1051	1496
1052	194
1053	42
1054	3264
1055	1882
1056	1190
1057	1884
1058	3718
1059	1290
1060	1287
1061	1461
1062	1550
1063	246
1064	1272
1065	1153
1066	552
1067	1602
1068	3908
1069	2767
1070	1219
1071	1567
1072	207
1073	2639
1074	1404
1075	3512
1076	1012
1077	2562
1078	542
1079	3238
1080	786
1081	438
1082	3189
1083	148
1084	454
1085	627
1086	1753
1087	902
1088	1328
1089	2368
1090	1188
1091	3313
1092	1099
1093	1621
1094	745
1095	474
1096	3486
1097	2348
1098	1018
1099	428
1100	1598
1101	393
1102	1771
1103	3120
1104	2835
1105	1336
1106	1668
1107	411
1108	2640
1109	2826
1110	3893
1111	781
1112	3804
1113	3175
1114	2967
1115	117
1116	2649
1117	2505
1118	1629
1119	2612
1120	24
1121	869
1122	2743
1123	247
1124	371
1125	1772
1126	3641
1127	3308
1128	2263
1129	986
1130	1860
1131	193
1132	208
1133	2536
1134	1525
1135	1895
1136	351
1137	3501
1138	719
1139	3058
1140	3810
1141	1028
1142	3706
1143	1995
1144	2332
1145	55
1146	29
1147	3340
1148	1883
1149	3949
1150	1006
1151	565
1152	1516
1153	1826
1154	1331
1155	1653
1156	2732
1157	2878
1158	934
1159	1865
1160	1829
1161	1291
1162	2929
1163	3567
1164	1788
1165	2721
1166	473
1167	621
1168	3358
1169	319
1170	294
1171	1658
1172	583
1173	118
1174	836
1175	212
1176	2443
1177	3144
1178	2205
1179	988
1180	1410
1181	163
1182	2052
1183	1293
1184	669
1185	3668
1186	407
1187	3021
1188	1197
1189	3507
1190	2738
1191	2532
1192	175
1193	3454
1194	1245
1195	1660
1196	2930
1197	3150
1198	3268
1199	3826
1200	2828
1201	1460
1202	695
1203	1682
1204	1988
1205	3435
1206	991
1207	1503
1208	2141
1209	754
1210	236
1211	2472
1212	224
1213	2168
1214	1914
1215	3634
1216	2515
1217	3406
1218	1248
1219	2315
1220	2133
1221	276
1222	2066
1223	2143
1224	1489
1225	162
1226	1304
1227	185
1228	359
1229	248
1230	2476
1231	2282
1232	2889
1233	2943
1234	471
1235	1009
1236	2522
1237	2465
1238	1437
1239	877
1240	301
1241	1445
1242	2861
1243	1984
1244	1121
1245	3135
1246	1344
1247	1544
1248	3481
1249	110
1250	3510
1251	3688
1252	3751
1253	3223
1254	2903
1255	2494
1256	3463
1257	1376
1258	3808
1259	3661
1260	2785
1261	2771
1262	2081
1263	386
1264	2750
1265	2567
1266	952
1267	1922
1268	516
1269	267
1270	2851
1271	2765
1272	1091
1273	1201
1274	2716
1275	491
1276	3400
1277	448
1278	39
1279	1515
1280	60
1281	2237
1282	783
1283	1301
1284	3767
1285	1414
1286	2744
1287	274
1288	3182
1289	3256
1290	2740
1291	3342
1292	1671
1293	2159
1294	3632
1295	1498
1296	1422
1297	1267
1298	3014
1299	1565
1300	463
1301	2805
1302	3497
1303	1934
1304	595
1305	2937
1306	2167
1307	3544
1308	28
1309	1468
1310	1718
1311	2219
1312	2454
1313	1089
1314	2004
1315	691
1316	2312
1317	2104
1318	3565
1319	2202
1320	1068
1321	2681
1322	709
1323	3658
1324	1493
1325	2554
1326	2517
1327	2633
1328	390
1329	1270
1330	2913
1331	383
