uid	gender	age
1	F	Under 18
2	M	56+
3	M	25-34
4	M	45-49
5	M	25-34
6	F	50-55
7	M	35-44
8	M	25-34
9	M	25-34
10	F	35-44
11	F	25-34
12	M	25-34
13	M	45-49
14	M	35-44
15	M	25-34
16	F	35-44
17	M	50-55
18	F	18-24
19	M	Under 18
20	M	25-34
21	M	18-24
22	M	18-24
23	M	35-44
24	F	25-34
25	M	18-24
26	M	25-34
27	M	25-34
28	F	25-34
29	M	35-44
30	F	35-44
31	M	56+
32	F	25-34
33	M	45-49
34	F	18-24
35	M	45-49
36	M	25-34
37	F	25-34
38	F	18-24
39	M	18-24
40	M	45-49
41	F	18-24
42	M	25-34
43	M	25-34
44	M	45-49
45	F	45-49
46	M	18-24
47	M	18-24
48	M	25-34
49	M	18-24
50	F	25-34
51	F	Under 18
52	M	18-24
53	M	25-34
54	M	50-55
55	F	35-44
56	M	35-44
57	M	18-24
58	M	25-34
59	F	50-55
60	M	50-55
61	M	25-34
62	F	35-44
63	M	18-24
64	M	18-24
65	M	35-44
66	M	25-34
67	F	50-55
68	M	18-24
69	F	25-34
70	M	18-24
71	M	25-34
72	F	45-49
73	M	18-24
74	M	35-44
75	F	Under 18
76	M	35-44
77	M	18-24
78	F	45-49
79	F	45-49
80	M	56+
81	F	25-34
82	M	25-34
83	F	25-34
84	M	18-24
85	M	18-24
86	F	Under 18
87	M	25-34
88	F	45-49
89	F	56+
90	M	56+
91	M	35-44
92	F	18-24
93	M	25-34
94	M	25-34
95	M	45-49
96	F	25-34
97	F	35-44
98	F	35-44
99	F	Under 18
100	M	35-44
101	F	18-24
102	M	35-44
103	M	45-49
104	M	25-34
105	M	45-49
106	F	35-44
107	M	45-49
108	M	25-34
109	M	45-49
110	M	25-34
111	M	35-44
112	M	25-34
113	M	18-24
114	F	25-34
115	M	25-34
116	M	25-34
117	M	25-34
118	M	35-44
119	F	Under 18
120	M	25-34
121	M	35-44
122	F	18-24
123	M	35-44
124	M	56+
125	M	45-49
126	M	18-24
127	F	45-49
128	M	56+
129	M	25-34
130	M	35-44
131	M	18-24
132	M	25-34
133	F	25-34
134	M	25-34
135	M	18-24
136	M	18-24
137	F	45-49
138	M	18-24
139	F	25-34
140	F	35-44
141	M	35-44
142	M	25-34
143	M	18-24
144	M	25-34
145	M	18-24
146	F	35-44
147	M	18-24
148	M	50-55
149	M	25-34
150	M	35-44
151	F	25-34
152	M	18-24
153	M	Under 18
154	M	50-55
155	M	35-44
156	F	45-49
157	M	35-44
158	M	56+
159	F	45-49
160	M	35-44
161	M	45-49
162	F	18-24
163	M	18-24
164	F	56+
165	M	18-24
166	M	18-24
167	F	25-34
168	F	50-55
169	M	25-34
170	M	25-34
171	F	50-55
172	M	25-34
173	M	25-34
174	M	25-34
175	F	25-34
176	F	18-24
177	M	50-55
178	M	56+
179	M	25-34
180	M	45-49
181	M	18-24
182	M	18-24
183	F	45-49
184	F	25-34
185	M	45-49
186	M	18-24
187	F	45-49
188	M	56+
189	M	18-24
190	M	25-34
191	M	18-24
192	M	18-24
193	F	45-49
194	F	Under 18
195	M	25-34
196	F	35-44
197	M	18-24
198	M	25-34
199	M	18-24
200	F	18-24
201	F	35-44
202	M	18-24
203	F	18-24
204	M	25-34
205	M	35-44
206	M	25-34
207	M	25-34
208	M	35-44
209	M	35-44
210	F	Under 18
211	M	45-49
212	M	25-34
213	F	18-24
214	M	18-24
215	M	35-44
216	M	45-49
217	M	18-24
218	M	35-44
219	F	25-34
220	M	25-34
221	F	25-34
222	M	25-34
223	M	25-34
224	F	18-24
225	M	25-34
226	M	35-44
227	M	35-44
228	M	25-34
